Age,M,F
0-4,216451,203212
5-9,253446,237406
10-14,280406,264522
15-19,268733,257553
20-24,272260,258641
25-29,282340,255675
30-34,323905,302756
35-39,386289,371561
40-44,398538,387338
45-49,398718,400318
50-54,387235,399436
55-59,338703,364202
60-64,314633,351118
65-69,267821,309645
70-74,246822,287440
75-79,182106,224295
80-84,166763,232087
85-89,103198,150664
90-94,41596,58670
95-99,9555,14900
100+,1002,1493
