Age,M,F
0-4,307116,290553
5-9,304759,288817
10-14,296771,280944
15-19,270840,257677
20-24,291723,274760
25-29,376952,361526
30-34,343311,330153
35-39,315086,300752
40-44,312017,301288
45-49,336452,327453
50-54,342117,331458
55-59,306949,300084
60-64,279609,280009
65-69,265511,272149
70-74,273061,286879
75-79,195029,212480
80-84,113166,143654
85-89,61775,97633
90-94,26170,52624
95-99,6768,18130
100+,415,1771
