Age,M,F
0-4,1876615,1771302
5-9,2006539,1894040
10-14,2142827,2022129
15-19,2287403,2177112
20-24,2470482,2385340
25-29,2393282,2368092
30-34,2233931,2239316
35-39,2413272,2464552
40-44,2624654,2787726
45-49,2704966,2953019
50-54,2646498,2917027
55-59,2366595,2627389
60-64,1968075,2245432
65-69,1414805,1673313
70-74,963729,1207424
75-79,661136,870524
80-84,423452,611299
85-89,206322,331246
90-94,79122,134789
95-99,18670,34194
100+,2471,5470
