Age,M,F
0-4,1437665,1372410
5-9,1343191,1336438
10-14,1345922,1374708
15-19,1219530,1284719
20-24,1267525,1400769
25-29,1378663,1376811
30-34,1337079,1283085
35-39,1255085,1193148
40-44,1124886,1090710
45-49,996591,979357
50-54,855243,870488
55-59,719761,739601
60-64,587677,610609
65-69,471540,501930
70-74,329455,359384
75-79,233072,268103
80-84,152120,177097
85-89,67801,98527
90-94,21175,34497
95-99,3908,8876
100+,352,954
