Age,M,F
0-4,154949,146248
5-9,161739,153307
10-14,164194,156184
15-19,165011,157659
20-24,182699,170906
25-29,190792,180031
30-34,189987,181972
35-39,184163,171603
40-44,181125,168698
45-49,196341,184636
50-54,191583,180026
55-59,168960,160888
60-64,154618,151467
65-69,137412,138294
70-74,127084,132020
75-79,78651,89389
80-84,46609,62371
85-89,26812,43323
90-94,10997,23498
95-99,2899,8691
100+,187,836
