Age,M,F
0-4,602428,580540
5-9,645142,622808
10-14,632595,611047
15-19,641475,620555
20-24,728499,706345
25-29,805090,780271
30-34,764207,742222
35-39,691971,680407
40-44,654436,654753
45-49,617365,630221
50-54,591914,616998
55-59,541202,578471
60-64,455800,503474
65-69,361689,416383
70-74,250321,303865
75-79,168238,227915
80-84,103598,161835
85-89,56139,102949
90-94,23498,51371
95-99,5455,15068
100+,712,2763
