Age,M,F
0-4,590879,564943
05-Sep,594362,569593
Oct-14,619243,592213
15-19,699548,666730
20-24,712002,698933
25-29,680203,699974
30-34,629759,649401
35-39,613775,640349
40-44,663333,692560
45-49,709523,749240
50-54,687779,732149
55-59,591847,645561
60-64,500359,565901
65-69,352255,420956
70-74,258616,328775
75-79,200049,274758
80-84,150993,240667
85-89,80739,153652
90-94,33496,83264
95-99,7830,27982
100+,557,3354
