Age,M,F
0-4,850010,812460
5-9,816598,781567
10-14,793021,760057
15-19,796571,766741
20-24,787963,763309
25-29,729900,716263
30-34,671400,666325
35-39,600841,602376
40-44,533989,543725
45-49,477317,491417
50-54,412852,428249
55-59,344210,360989
60-64,283090,301602
65-69,221647,240813
70-74,147277,164869
75-79,107601,125890
80-84,64819,80562
85-89,33967,45506
90-94,13445,20771
95-99,3611,7659
100+,358,2020
