Age,M,F
0-4,17043,16045
5-9,16433,15692
10-14,16017,15484
15-19,17894,16861
20-24,20594,19251
25-29,23065,21715
30-34,23992,23876
35-39,24156,23890
40-44,23751,22039
45-49,25073,22673
50-54,25023,22433
55-59,21202,20109
60-64,16985,16543
65-69,13333,13283
70-74,10320,11017
75-79,6857,8482
80-84,5151,6958
85-89,3093,5169
90-94,957,2406
95-99,162,640
100+,9,54
