Age,M,F
0-4,1013876,965981
5-9,1012761,967470
10-14,1006817,961187
15-19,1027473,978597
20-24,1231211,1176141
25-29,1371604,1331426
30-34,1296540,1296437
35-39,1300549,1311383
40-44,1205213,1219488
45-49,1185947,1187043
50-54,1246964,1237596
55-59,1388976,1386533
60-64,1242201,1259298
65-69,1020920,1076000
70-74,830665,888164
75-79,534137,623661
80-84,342113,443609
85-89,201199,307866
90-94,83472,166833
95-99,19512,56067
100+,1387,6720
