Age,M,F
0-4,198896,190173
5-9,195127,186839
10-14,186871,179256
15-19,180362,174294
20-24,174419,170385
25-29,163819,161294
30-34,157538,155735
35-39,149757,148032
40-44,142331,142026
45-49,131050,131595
50-54,113285,114993
55-59,94394,97482
60-64,74579,78865
65-69,56356,61362
70-74,41466,46446
75-79,29340,34181
80-84,18881,23240
85-89,10678,13866
90-94,5013,6801
95-99,1837,2559
100+,435,582
