Age,M,F
0-4,209341,196940
5-9,231121,219202
10-14,254479,244044
15-19,270360,260139
20-24,269162,271175
25-29,263470,272726
30-34,280509,295067
35-39,328741,349323
40-44,377694,405206
45-49,386741,417471
50-54,352050,387875
55-59,344442,388021
60-64,308794,355727
65-69,282335,335445
70-74,247453,308283
75-79,186448,255346
80-84,136924,210691
85-89,76580,141339
90-94,24097,58215
95-99,5577,15775
100+,356,1494
