Age,M,F
0-4,13376,12813
05-Sep,13699,12895
Oct-14,13374,12840
15-19,13670,13280
20-24,14924,14827
25-29,17493,17822
30-34,18472,19128
35-39,18878,19642
40-44,18638,19563
45-49,18637,19350
50-54,18350,18928
55-59,16802,17406
60-64,13094,13340
65-69,9268,11130
70-74,8606,10993
75-79,7208,9779
80-84,5079,7109
85-89,3066,5270
90-94,1227,2705
95-99,248,958
100+,25,119
