Age,M,F
0-4,7366404,7052342
5-9,7516539,7205409
10-14,7781476,7449811
15-19,8002198,7648627
20-24,7705554,7477394
25-29,7196718,7220374
30-34,6714241,6922648
35-39,6174648,6365524
40-44,5408453,5507952
45-49,4636640,4590162
50-54,4181464,3932242
55-59,3316370,3050244
60-64,2209994,1966373
65-69,1442178,1274234
70-74,1206246,1159666
75-79,838676,860226
80-84,475187,511245
85-89,214022,255867
90-94,69156,94723
95-99,15953,24099
100+,1674,3220
