Age,M,F
0-4,1693213,1606424
05-Sep,1812470,1725736
Oct-14,1719456,1634790
15-19,1587717,1502515
20-24,1792721,1695142
25-29,1933122,1868287
30-34,1900552,1907402
35-39,1849111,1884531
40-44,1700196,1714101
45-49,1839293,1876519
50-54,1926928,1980533
55-59,1809613,1861038
60-64,1527238,1584597
65-69,1352800,1443940
70-74,1330150,1449176
75-79,900710,1039976
80-84,635457,804456
85-89,350850,528928
90-94,137086,269518
95-99,27349,73615
100+,1799,7907
