Age,M,F
0-4,84699,80843
05-Sep,94208,89576
Oct-14,92713,88106
15-19,89300,83081
20-24,106343,96059
25-29,106543,101717
30-34,96267,96687
35-39,91415,93505
40-44,83662,85894
45-49,96980,102092
50-54,107292,113188
55-59,105866,111614
60-64,93900,98953
65-69,88564,93578
70-74,86636,92650
75-79,59502,67283
80-84,39701,50068
85-89,21396,32482
90-94,7992,15989
95-99,1594,4367
100+,105,469
