Age,M,F
0-4,138799,132269
5-9,157414,150318
10-14,157056,150194
15-19,151427,144081
20-24,163961,156039
25-29,183471,175178
30-34,178654,168118
35-39,184284,174157
40-44,173268,165091
45-49,161315,155649
50-54,179859,178661
55-59,184281,186174
60-64,174827,182750
65-69,173915,189201
70-74,161514,183387
75-79,93247,118061
80-84,61977,92652
85-89,32984,61228
90-94,12351,31786
95-99,2460,9183
100+,146,772
