Age,M,F
0-4,234915,222223
5-9,233064,221780
10-14,249120,236705
15-19,250302,236607
20-24,275462,262118
25-29,326497,312078
30-34,310891,298281
35-39,339518,334800
40-44,415693,410376
45-49,377723,375633
50-54,306356,319035
55-59,266829,297158
60-64,299351,364797
65-69,283612,374740
70-74,183128,275943
75-79,131806,231264
80-84,72257,161654
85-89,36894,93490
90-94,11273,35585
95-99,3429,11718
100+,130,445
