Age,M,F
0-4,442763,420544
5-9,461810,437573
10-14,489546,463379
15-19,523735,496808
20-24,524858,501474
25-29,549796,530594
30-34,539920,526820
35-39,508911,500207
40-44,511924,510587
45-49,589411,590037
50-54,646351,638561
55-59,623258,612200
60-64,551311,552790
65-69,495210,510171
70-74,449729,472296
75-79,284531,320348
80-84,185303,240606
85-89,96352,157992
90-94,32418,73475
95-99,7268,23477
100+,429,2349
