Age,M,F
0-4,500802,486813
05-Sep,555463,537528
Oct-14,662506,642527
15-19,638420,631856
20-24,646569,656220
25-29,665139,699208
30-34,637189,685586
35-39,566803,623622
40-44,542851,600020
45-49,515808,586139
50-54,461682,537716
55-59,374767,454090
60-64,290089,363130
65-69,206333,270534
70-74,156157,220125
75-79,104218,165181
80-84,62863,115785
85-89,26879,57807
90-94,8749,22553
95-99,2025,6433
100+,370,1377
