Age,M,F
0-4,1777912,1687267
05-Sep,1906678,1815312
Oct-14,1812169,1722896
15-19,1677017,1585596
20-24,1899064,1791201
25-29,2039665,1970004
30-34,1996819,2004089
35-39,1940526,1978036
40-44,1783858,1799995
45-49,1936273,1978611
50-54,2034220,2093721
55-59,1915479,1972652
60-64,1621138,1683550
65-69,1441364,1537518
70-74,1416786,1541826
75-79,960212,1107259
80-84,675158,854524
85-89,372246,561410
90-94,145078,285506
95-99,28944,77982
100+,1904,8376
