Age,M,F
0-4,1011337,958165
5-9,1166864,1104519
10-14,1182869,1105654
15-19,1353570,1244531
20-24,1747374,1578873
25-29,1856271,1615387
30-34,1756422,1581655
35-39,2001445,1857327
40-44,2046048,1944249
45-49,2205709,2134000
50-54,2165615,2144863
55-59,2066858,2065585
60-64,1775200,1840304
65-69,1209711,1310502
70-74,891774,1036309
75-79,638576,877984
80-84,378896,649984
85-89,145865,352443
90-94,39759,133738
95-99,8777,36441
100+,517,3350
