Age,M,F
0-4,5534962,5240508
5-9,5820604,5541514
10-14,5538414,5273495
15-19,5383822,5029137
20-24,5149849,4896316
25-29,4710777,4589506
30-34,4061897,3982681
35-39,3581091,3544279
40-44,3237426,3191565
45-49,2832825,2825286
50-54,2482953,2521463
55-59,2015857,2112380
60-64,1556935,1714689
65-69,1082875,1285782
70-74,668107,895866
75-79,364200,567282
80-84,199400,360751
85-89,73508,155294
90-94,17327,57969
95-99,3035,13376
100+,208,1411
