Age,M,F
0-4,165556,155965
5-9,185392,176449
10-14,178146,171158
15-19,154815,149281
20-24,143818,139430
25-29,140082,135780
30-34,158450,161964
35-39,188985,201208
40-44,190761,200187
45-49,176844,179874
50-54,151941,153394
55-59,139947,142713
60-64,121036,124886
65-69,111960,115982
70-74,91630,96611
75-79,60085,66234
80-84,37505,46129
85-89,17812,25576
90-94,5955,12363
95-99,1586,4407
100+,112,489
