Age,M,F
0-4,285503,270080
5-9,289380,274045
10-14,288155,273494
15-19,242044,230222
20-24,250759,239437
25-29,335017,320767
30-34,370779,350669
35-39,406424,382488
40-44,481359,457067
45-49,427866,407941
50-54,343847,332671
55-59,327985,328624
60-64,317708,338324
65-69,319726,369130
70-74,262393,333059
75-79,160990,230885
80-84,83923,142438
85-89,48029,96488
90-94,15511,40096
95-99,3159,10370
100+,71,290
