Age,M,F
0-4,229951,218975
5-9,219242,207631
10-14,208921,198889
15-19,218281,209572
20-24,248920,240157
25-29,282834,275410
30-34,302273,297211
35-39,307034,304630
40-44,284928,281261
45-49,307425,303472
50-54,344478,337299
55-59,316685,311380
60-64,259827,256238
65-69,213168,224641
70-74,198533,216689
75-79,144916,171858
80-84,93949,126257
85-89,53876,87552
90-94,20294,46501
95-99,4825,13718
100+,301,1359
