Age,M,F
00-04,61906,58463
05-09,65597,62949
10-14,63776,60351
15-19,58024,54373
20-24,59941,55418
25-29,61290,61035
30-34,62888,63873
35-39,60734,63849
40-44,56218,60036
45-49,61271,64509
50-54,64555,67429
55-59,61252,63402
60-64,52148,53656
65-69,44278,45595
70-74,38615,42784
75-79,28387,33487
80-84,18336,24503
85-89,9421,15584
90-94,3175,6915
95-99,845,2465
100+,60,274
