Age,M,F
0-4,14359100,13308965
5-9,13015882,12090574
10-14,12003845,11137248
15-19,11333714,10439958
20-24,10615023,9948577
25-29,9637388,9176486
30-34,8344787,7978420
35-39,6901463,6619125
40-44,5725203,5500631
45-49,4765999,4594294
50-54,4073191,3954377
55-59,3371435,3291097
60-64,2534492,2483204
65-69,1753716,1728801
70-74,1352702,1307249
75-79,918493,886346
80-84,482413,450144
85-89,194217,172865
90-94,54187,42463
95-99,9782,6640
100+,549,272
