Age,M,F
0-4,52865,50017
5-9,56157,52972
10-14,52555,49427
15-19,46973,44082
20-24,50611,47293
25-29,58126,55181
30-34,71744,66098
35-39,79851,72534
40-44,82937,74231
45-49,76825,69952
50-54,77118,75047
55-59,75486,74448
60-64,73368,73155
65-69,66151,68497
70-74,43154,50472
75-79,33503,45297
80-84,22124,36229
85-89,11138,25296
90-94,3337,10791
95-99,629,2794
100+,32,157
