Age,M,F
0-4,264436,253288
05-Sep,241413,231746
Oct-14,238596,229558
15-19,271815,264018
20-24,312967,329618
25-29,348048,382142
30-34,320497,341758
35-39,285708,301699
40-44,274657,292623
45-49,270857,294835
50-54,254729,286955
55-59,218466,257069
60-64,185515,228962
65-69,128754,168413
70-74,98867,135427
75-79,71872,106147
80-84,52138,90134
85-89,28959,56324
90-94,11700,31324
95-99,2437,9965
100+,113,583
