Age,M,F
0-4,227509,214815
5-9,217192,203506
10-14,218160,204948
15-19,234124,219868
20-24,267499,250345
25-29,311161,295421
30-34,312257,302919
35-39,307255,302097
40-44,282626,280552
45-49,315359,317024
50-54,362347,360154
55-59,339899,340544
60-64,272626,286689
65-69,208881,232220
70-74,189585,223128
75-79,165791,211359
80-84,101627,145810
85-89,50589,88521
90-94,20438,49230
95-99,4257,15662
100+,198,916
