Age,M,F
0-4,2518725,2386805
5-9,2802042,2655854
10-14,2867767,2718854
15-19,2951127,2799999
20-24,3092270,2938195
25-29,3195642,3041975
30-34,3558876,3394703
35-39,3988022,3821077
40-44,4474486,4323266
45-49,5059545,4896450
50-54,4251511,4187198
55-59,3914985,3869646
60-64,3794708,3832432
65-69,4237635,4453649
70-74,4249293,4770203
75-79,3029250,3765873
80-84,2142122,3064600
85-89,1236610,2278049
90-94,473936,1224732
95-99,102550,422445
100+,9208,63984
