Age,M,F
0-4,964314,914496
5-9,991380,942504
10-14,993697,947024
15-19,886244,856641
20-24,1046877,1014649
25-29,1312405,1240527
30-34,1514944,1396891
35-39,1645236,1541735
40-44,1465413,1428527
45-49,1253659,1249804
50-54,1104646,1125203
55-59,1173169,1250062
60-64,1295073,1468595
65-69,1065584,1326105
70-74,726086,1005676
75-79,380148,624294
80-84,303405,590749
85-89,162989,383593
90-94,60395,171659
95-99,13820,45106
100+,1054,3392
