Age,M,F
0-4,12232223,11707538
5-9,12291353,11746372
10-14,11811649,11155693
15-19,12016177,11326565
20-24,11486572,10924467
25-29,10467344,10190453
30-34,10045083,10137485
35-39,10592522,10578564
40-44,9777813,9645670
45-49,9021602,8848317
50-54,7791556,7751237
55-59,6338734,6444108
60-64,4945148,4977672
65-69,3347235,3380722
70-74,1980318,2425934
75-79,1236841,1633555
80-84,609406,967968
85-89,206571,370803
90-94,62920,120504
95-99,8356,21118
100+,338,1061
