Age,M,F
0-4,3538565,3470885
5-9,3508133,3458314
10-14,3341547,3288073
15-19,2946154,2917853
20-24,2532152,2534425
25-29,2121557,2147323
30-34,1956453,1993608
35-39,1646940,1683036
40-44,1306419,1338246
45-49,1006246,1037740
50-54,744267,783921
55-59,546976,601292
60-64,391806,457739
65-69,263904,332530
70-74,149091,203771
75-79,71858,110092
80-84,36289,63903
85-89,11935,24026
90-94,1918,4381
95-99,170,421
100+,2,6
