Age,M,F
0-4,513658,492887
5-9,507042,487144
10-14,497053,477842
15-19,488956,470683
20-24,478676,465327
25-29,454538,454180
30-34,404422,408386
35-39,367237,360876
40-44,326894,332633
45-49,294177,303317
50-54,259713,272564
55-59,224878,236941
60-64,182509,192656
65-69,134870,145419
70-74,91993,102472
75-79,61931,71472
80-84,41799,50873
85-89,22247,28402
90-94,9472,12712
95-99,3268,4645
100+,865,1328
