Age,M,F
0-4,5645905,5395051
5-9,5729384,5475043
10-14,5698877,5461498
15-19,5680011,5516572
20-24,5501809,5441620
25-29,5309027,5371472
30-34,4660173,4980203
35-39,4292520,4703729
40-44,4001703,4467304
45-49,3715950,4158216
50-54,3156565,3586287
55-59,2662963,2991678
60-64,2096926,2413178
65-69,1587946,1848282
70-74,1081587,1279995
75-79,749124,913256
80-84,442153,585051
85-89,245661,355945
90-94,107042,166168
95-99,33468,53553
100+,4599,8034
