Age,M,F
0-4,1909034,1821187
5-9,1901364,1817214
10-14,2012212,1926240
15-19,2190322,2102840
20-24,2245324,2174810
25-29,2200760,2158324
30-34,1988639,1988713
35-39,1812321,1877349
40-44,1602286,1741381
45-49,1404684,1590822
50-54,1363536,1524046
55-59,1200731,1357301
60-64,923540,1091859
65-69,742739,875170
70-74,508959,615886
75-79,330755,426791
80-84,210441,286573
85-89,108724,160249
90-94,43501,67175
95-99,12055,19825
100+,1266,2495
