Age,M,F
0-4,2565649,2458967
5-9,2301378,2207029
10-14,1846406,1773441
15-19,1452395,1393956
20-24,1584049,1521920
25-29,1850277,1803515
30-34,1874679,1849554
35-39,1743283,1726308
40-44,1452339,1446425
45-49,1171357,1178902
50-54,998947,1006210
55-59,840180,837632
60-64,685599,661484
65-69,552822,531060
70-74,335186,344324
75-79,234237,265994
80-84,154150,179724
85-89,78097,85570
90-94,23336,25970
95-99,4835,4984
100+,465,419
