Age,M,F
0-4,177630,167869
05-Sep,206667,194145
Oct-14,222951,208171
15-19,210730,193178
20-24,205258,192005
25-29,222423,217432
30-34,232504,236172
35-39,271512,275198
40-44,334365,325378
45-49,323846,313205
50-54,287712,284914
55-59,250172,260901
60-64,215114,233875
65-69,180077,203325
70-74,162732,192842
75-79,123018,154710
80-84,79690,116463
85-89,57173,101221
90-94,21618,49713
95-99,3653,12188
100+,1217,4062
