Age,M,F
0-4,139523,131610
05-Sep,153049,145820
Oct-14,150146,143881
15-19,142874,136379
20-24,175773,171451
25-29,190588,190909
30-34,181965,186332
35-39,171867,179490
40-44,156653,162434
45-49,174657,186379
50-54,193859,207019
55-59,190674,202261
60-64,166800,177746
65-69,144425,154961
70-74,132043,146491
75-79,87871,108028
80-84,59788,82979
85-89,31337,51786
90-94,10897,22941
95-99,2174,6266
100+,143,673
