"age_min","age_max","M","F","pM","pF"
65,69,2712,2334,0.00254537810359929,0.00176038448723989
70,74,1456,1725,0.00200565231999216,0.00171572802329073
75,79,2148,3806,0.00565044983496004,0.00609676865888033
80,84,3313,8323,0.010919490648445,0.0140886203621241
85,89,4223,14463,0.0259109547527753,0.0377052478900364
90,94,3349,14362,0.0554588121856411,0.0836657042434868
95,110,1001,5735,0.0673114023402921,0.118244848178854
