"Age","M","F","pM","pF"
"65-69",7144.59798800088,6149.26554509248,0.0144274105692552,0.012053342007077
"70-74",3836.0257653696,4545.10931593792,0.0085296384386366,0.00962343385490862
"75-79",5658.13800392016,10025.976432216,0.0198858402209958,0.0312971407101527
"80-84",8726.95861621584,21923.4684651123,0.0470956142977493,0.0911177130458606
"85-89",11124.4747195718,38098.7104424208,0.115456604113789,0.24114328853626
"90-94",8822.85926035008,37831.351070895,0.272159271403235,0.514887391233686
"95+",2637.2677136916,15105.8044912054,0.342635794944992,0.584906857089965
