"age_min","age_max","M","F","pM","pF"
65,69,62,53,0.000231104708178367,0.00017204212558616
70,74,33,39,0.000134639742389771,0.000136984917474066
75,79,49,87,0.000269168915256987,0.000387242228381729
80,84,76,190,0.00045335544982215,0.000818340552226267
85,89,96,330,0.000933864478369457,0.00219066720209568
90,94,76,328,0.0018375256308562,0.00558613448304324
95,110,23,131,0.00216415977229213,0.00798290652878785
