"Age","M","F","pM","pF"
"65-69",241.412024992802,207.78029078087,0.0181063545333235,0.0156425725198276
"70-74",129.617194627008,153.576736664122,0.0125598056809116,0.0139399779126914
"75-79",191.185362074837,338.77221322968,0.0278817795063201,0.0399401336040651
"80-84",294.879117776443,740.781906262234,0.0572469652060655,0.106464775260453
"85-89",375.889864418323,1287.33441027278,0.121529215783486,0.249049025009244
"90-94",298.119547642118,1278.30048458666,0.31151467883189,0.531296959512327
"95+",89.111821306068,510.416801266051,0.521121762023789,0.735470895196039
