"age_min","age_max","M","F","pM","pF"
65,69,14645,12605,0.0129967573930533,0.0102207755732825
70,74,7863,9317,0.00779978056157055,0.00798054723470582
75,79,11598,20551,0.014958294520857,0.0211679481788318
80,84,17889,44939,0.034151292178884,0.0592333894482415
85,89,22803,78095,0.0603155109460218,0.118715650656007
90,94,18085,77547,0.126735054207421,0.251556875607829
95,110,5406,30964,0.160354472047585,0.315288673421669
