"age_min","age_max","M","F","pM","pF"
65,69,1248,1074,0.0111426532733854,0.00925776950645213
70,74,670,794,0.00731000272023818,0.00821469541422038
75,79,988,1751,0.0164430046625905,0.0264313536320174
80,84,1524,3828,0.0406300593135872,0.082986783827943
85,89,1942,6652,0.109053733036196,0.260106594094446
90,94,1541,6606,0.258702898956755,0.534320321646893
95,110,460,2638,0.271200347534219,0.538736201634868
