"age_min","age_max","M","F","pM","pF"
65,69,3029,2607,0.0107277836459348,0.00777139267117222
70,74,1626,1927,0.00657182092375917,0.00625016791430393
75,79,2399,4250,0.0128650872334071,0.0166454119962719
80,84,3700,9294,0.0270196841089354,0.0441123513861474
85,89,4716,16151,0.0615830338056442,0.11427341082136
90,94,3740,16038,0.155218435780722,0.275495099696599
95,110,1118,6404,0.188441606623091,0.370828921953254
