"Age","M","F","pM","pF"
"65-69",61.8946940490384,53.2719839771264,0.000231104708178367,0.00017204212558616
"70-74",33.232050496128,39.3749446787456,0.000134639742389771,0.000136984917474066
"75-79",49.0172744817888,86.85649561488,0.000269168915256987,0.000387242228381729
"80-84",75.6029148786912,189.926203744538,0.00045335544982215,0.000818340552226267
"85-89",96.3729464387712,330.054683336544,0.000933864478369457,0.00219066720209568
"90-94",76.4337161410944,327.738510120147,0.0018375256308562,0.00558613448304324
"95+",22.847034716088,130.863786726419,0.00216415977229213,0.00798290652878785
