"Age","M","F","pM","pF"
"65-69",14644.9931688829,12604.7612549751,0.0129967573930533,0.0102207755732825
"70-74",7863.08358060826,9316.56266672069,0.00779978056157055,0.00798054723470582
"75-79",11598.0482813972,20551.2411765898,0.014958294520857,0.0211679481788318
"80-84",17888.5151458838,44938.7140394763,0.034151292178884,0.0592333894482415
"85-89",22802.9423837639,78094.7164710411,0.0603155109460218,0.118715650656007
"90-94",18085.092235399,77546.6833729987,0.126735054207421,0.251556875607829
"95+",5405.86996166818,30963.8700393952,0.160354472047585,0.315288673421669
