"Age","M","F","pM","pF"
"65-69",9255.7270929816,7966.2877887936,0.00550792537004138,0.00429961721986496
"70-74",4969.517902272,5888.1257569344,0.00319850132282252,0.00332446288144512
"75-79",7330.0389058512,12988.51269912,0.00629927039354436,0.00897888420898655
"80-84",11305.6532276688,28401.5477687424,0.0120005065584141,0.0213251409475523
"85-89",14411.6019165888,49356.348256656,0.0297706856754856,0.0568279115885889
"90-94",11429.8911752256,49009.9879180128,0.0613043587933471,0.109321160080508
"95+",3416.543557812,19569.3591333408,0.0706466689649097,0.125406023360381
