"Age","M","F","pM","pF"
"65-69",3208.87342934044,2761.83696419946,0.0113143076785906,0.00737000844371953
"70-74",1722.88506273312,2041.35775614742,0.00940809195061989,0.00739775155067323
"75-79",2541.25546753135,4502.9950503252,0.019280271516709,0.0194712322295091
"80-84",3919.56351771785,9846.5491767111,0.0542447585385201,0.0609112621816417
"85-89",4996.36668192605,17111.3811912358,0.135424911419907,0.183028999799291
"90-94",3962.63564428618,16991.3013232271,0.351515625324774,0.47748493250603
"95+",1184.48348062902,6784.51254248997,0.332813565785058,0.557799271766009
