"Age","M","F","pM","pF"
"65-69",5040.57135134459,4338.35630646539,0.0189844162816026,0.015941106917407
"70-74",2706.34703427898,3206.61118303964,0.00991114452184302,0.0111775737612012
"75-79",3991.86187556149,7073.40702141096,0.0204680425760348,0.0332897544305862
"80-84",6156.93950298467,15467.1833534853,0.0544062660426689,0.107669701877325
"85-89",7848.40639940903,26878.9466813616,0.127048262232441,0.275305958859829
"90-94",6224.59817884164,26690.322494124,0.237852433276333,0.507189162627775
"95+",1860.6135860668,10657.2665789258,0.259030152591786,0.535514123859396
