"age_min","age_max","M","F","pM","pF"
65,69,3209,2762,0.0113143076785906,0.00737000844371953
70,74,1723,2041,0.00940809195061989,0.00739775155067323
75,79,2541,4503,0.019280271516709,0.0194712322295091
80,84,3920,9847,0.0542447585385201,0.0609112621816417
85,89,4996,17111,0.135424911419907,0.183028999799291
90,94,3963,16991,0.351515625324774,0.47748493250603
95,110,1184,6785,0.332813565785058,0.557799271766009
