"age_min","age_max","M","F","pM","pF"
65,69,2507,2158,0.0144135363467779,0.0114032753705212
70,74,1346,1595,0.00833299525305517,0.00869572063389483
75,79,1985,3518,0.0212896469384579,0.0297954544414491
80,84,3062,7692,0.0494040051036988,0.0830202921436709
85,89,3903,13367,0.118333029540858,0.218318226267154
90,94,3096,13273,0.250632289627924,0.417585840536829
95,110,925,5300,0.355066417601724,0.532393061563364
