"Age","M","F","pM","pF"
"65-69",3389.50532015336,2917.30455865141,0.00332004987673212,0.00271124958982473
"70-74",1819.86862827026,2156.26858682931,0.00219085747957391,0.00242778201641736
"75-79",2684.30622669863,4756.47482388818,0.00502550137267898,0.00762669915849825
"80-84",4140.20112931484,10400.8249482355,0.0121018526899441,0.0234459286178492
"85-89",5277.61902198375,18074.6043307751,0.0262308412168239,0.0587093226623761
"90-94",4185.69784502159,17947.7650021381,0.0501449329717941,0.107579225945335
"95+",1251.1596819358,7166.42206799152,0.0598669640621945,0.114138628505766
