"age_min","age_max","M","F","pM","pF"
65,69,3390,2917,0.00332004987673212,0.00271124958982473
70,74,1820,2156,0.00219085747957391,0.00242778201641736
75,79,2684,4756,0.00502550137267898,0.00762669915849825
80,84,4140,10401,0.0121018526899441,0.0234459286178492
85,89,5278,18075,0.0262308412168239,0.0587093226623761
90,94,4186,17948,0.0501449329717941,0.107579225945335
95,110,1251,7166,0.0598669640621945,0.114138628505766
