"age_min","age_max","M","F","pM","pF"
65,69,1854,1596,0.0119388436670574,0.0097436188368775
70,74,996,1180,0.00587878891176109,0.00665768996615537
75,79,1469,2602,0.0144472743983777,0.0219207551104675
80,84,2265,5691,0.0371638209026873,0.0715856181304911
85,89,2888,9889,0.0981348366858441,0.211675910350979
90,94,2290,9820,0.192607369266606,0.391627907831681
95,110,685,3921,0.228867016142443,0.402601043485787
