"Age","M","F","pM","pF"
"65-69",748.921393099308,644.587214886368,0.0113213918625464,0.00941044447036174
"70-74",402.10544595936,476.434028394272,0.00931791829168466,0.00943957101748042
"75-79",593.105532790056,1050.9574155756,0.0177030574214266,0.023201479470508
"80-84",914.789889557544,2298.09354872531,0.0413483045361392,0.0634324311663395
"85-89",1166.10579328214,3993.63817918728,0.104696156696188,0.157876272105759
"90-94",924.842525706528,3965.61264810526,0.277147895027428,0.367492600139492
"95+",276.44749409706,1583.4425061339,0.418226163535643,0.536578280628229
