"Age","M","F","pM","pF"
"65-69",3938.14602481164,3389.51270632558,0.0184743771335831,0.0150885755775908
"70-74",2114.44081869082,2505.2920003276,0.0106503242216197,0.0115616944114727
"75-79",3118.80020756895,5526.37941248736,0.021521434538415,0.0321566608041951
"80-84",4810.35286252161,12084.349648639,0.0512017462934316,0.09571231415794
"85-89",6131.87837420337,21000.241767452,0.113814655397642,0.239860217555875
"90-94",4863.21388298888,20852.8716497856,0.239638015324178,0.448439208829609
"95+",1453.67806284994,8326.41164814762,0.283589165596944,0.552259179422141
