"age_min","age_max","M","F","pM","pF"
65,69,36788,31663,0.0165096853077241,0.0129065104446052
70,74,19752,23403,0.0109974051820244,0.0114861671383827
75,79,29134,51625,0.017330898625821,0.0248798473212523
80,84,44936,112886,0.0336516506639762,0.060327381836184
85,89,57281,196174,0.0999390363946698,0.200437316551652
90,94,45430,194797,0.198748465248256,0.373677159790899
95,110,13580,77781,0.275419075044086,0.432648955568837
