"Age","M","F","pM","pF"
"65-69",2911.06027717576,2505.51293329425,0.00910485940203724,0.00678761664804878
"70-74",1562.98538371853,1851.90086373923,0.00595665808050721,0.00556027870058826
"75-79",2305.40344098483,4085.07543471888,0.0143201654822339,0.0176931175031677
"80-84",3555.79174795965,8932.69828391862,0.0423696930276522,0.0627128875996477
"85-89",4532.65761278373,15523.2866519317,0.0943733497008835,0.160883080299434
"90-94",3594.86638255261,15414.3513070059,0.231762386857882,0.38443613594887
"95+",1074.55245130649,6154.84698830978,0.332678777494269,0.577377766257953
