"Age","M","F","pM","pF"
"65-69",36788.2015774955,31663.1419719262,0.0165096853077241,0.0129065104446052
"70-74",19752.0545382526,23403.1918922932,0.0109974051820244,0.0114861671383827
"75-79",29134.2804439226,51624.6879977057,0.017330898625821,0.0248798473212523
"80-84",44935.9240745247,112885.98442165,0.0336516506639762,0.060327381836184
"85-89",57280.9581609326,196173.814391282,0.0999390363946698,0.200437316551652
"90-94",45429.725437981,194797.156044676,0.198748465248256,0.373677159790899
"95+",13579.5374950487,77781.1965832099,0.275419075044086,0.432648955568837
