"Age","M","F","pM","pF"
"65-69",1698.16907125562,1461.5927414183,0.0123582297852853,0.010568735747164
"70-74",911.76862886208,1080.30767843962,0.00717453518036952,0.00818290924435401
"75-79",1344.85872757157,2383.0316436168,0.0170990671138519,0.0266591151441095
"80-84",2074.27363066123,5210.89586070874,0.044503714532842,0.0835467743135229
"85-89",2644.12902370003,9055.52024574384,0.0986173737020749,0.209023388171268
"90-94",2097.06784638278,8991.97273524739,0.190694539090914,0.382669705304596
"95+",626.84093234268,3590.43434304931,0.203124086954854,0.376869354786324
